,lat,lon,stop,bike station,pharmacy,aed,attraction,theatre,tree,bush,forest,police station,hotel,dorm,cost
106,52.143829,21.054668,14,0,2,6,0,0,0,0,0,0,0,0,17893
107,52.14702,21.018322,9,0,2,4,0,0,0,0,0,0,0,0,17893
108,52.149825,21.123162,0,0,0,0,0,0,0,0,0,0,0,0,19236
109,52.171854,21.099433,0,0,0,0,0,0,0,0,0,0,0,0,19236
110,52.15337,21.018318,11,0,0,4,0,0,0,0,0,1,0,0,17893
111,52.203278,20.938628,11,0,0,0,0,0,0,0,0,0,0,0,16670
112,52.183704,21.016134,13,0,2,0,0,0,0,0,0,0,0,0,18744
113,52.174671,20.96199,0,0,0,0,0,0,0,0,0,0,0,0,16670
114,52.107298,21.086361,0,0,0,0,0,0,0,0,0,0,0,0,17893
115,52.193276,21.156944,1,0,0,0,0,0,0,0,0,0,0,0,13526
116,52.146541,21.078232,0,0,0,0,0,0,0,0,0,0,0,0,19236
117,52.189352,20.90937,8,0,0,4,0,0,0,0,0,0,0,0,15296
118,52.152702,20.963067,7,0,0,0,0,0,0,0,0,0,0,0,16670
119,52.219511,20.987542,24,0,2,6,3,1,0,0,0,1,0,0,18673
120,52.183078,20.946668,6,0,0,0,0,0,0,0,0,0,0,0,16670
121,52.206506,21.034112,13,0,1,0,1,0,0,0,0,1,0,1,18744
122,52.160206,20.943504,6,0,0,0,0,0,0,0,0,0,0,0,16670
123,52.202707,20.997698,12,0,1,0,0,0,0,0,0,0,0,1,18744
124,52.202414,20.933773,5,0,1,0,0,0,0,0,0,0,0,0,16670
125,52.147001,21.052519,15,0,1,8,0,0,0,0,0,0,0,0,17893
126,52.208426,21.043161,13,1,2,2,0,1,0,0,0,1,0,0,18744
127,52.160216,20.964572,2,0,0,0,0,0,0,0,0,0,0,0,16670
128,52.214471,21.121755,2,0,0,0,0,0,0,0,0,0,0,0,13526
129,52.15557,21.154108,0,0,0,0,0,0,0,0,0,0,0,0,13526
130,52.197799,21.072378,2,0,0,0,0,0,0,0,0,0,0,0,18744
131,52.210621,21.143577,2,0,0,0,0,0,0,0,0,0,0,0,13526
132,52.147209,21.010915,8,0,1,4,0,0,0,0,0,0,0,0,17893
133,52.213194,21.139645,6,0,0,0,0,0,0,0,0,0,0,0,13526
134,52.151246,21.106707,0,0,0,0,0,0,0,0,0,0,0,0,19236
135,52.197835,20.91897,10,0,0,0,0,0,0,0,0,0,0,0,16670
136,52.181144,20.986026,14,0,0,0,0,0,0,0,0,0,0,0,16670
137,52.118348,21.070509,0,0,0,0,0,0,0,0,0,0,0,0,17893
138,52.161388,21.004296,2,0,0,0,1,0,0,0,0,0,0,0,17893
139,52.179008,21.131776,0,0,0,0,0,0,0,0,0,0,0,0,13526
140,52.146932,21.071066,0,0,0,0,0,0,0,0,0,0,0,0,19236
141,52.190132,21.15801,0,0,0,0,0,0,0,0,0,0,0,0,13526
142,52.184326,21.059296,14,0,2,8,0,0,0,0,0,0,0,0,18744
143,52.217964,20.884914,4,0,1,0,0,0,0,0,0,0,0,0,17378
144,52.139955,21.00153,1,0,0,0,0,0,0,0,0,0,0,0,17893
145,52.200483,21.039688,12,1,1,2,1,0,0,0,0,0,0,0,18744
146,52.174079,21.052469,6,0,2,2,0,0,0,0,0,0,0,0,18744
147,52.206359,21.028567,12,0,1,2,2,0,0,0,0,1,0,1,18744
148,52.147595,21.017765,9,0,2,4,0,0,0,0,0,0,0,0,17893
149,52.111628,21.096137,0,0,0,0,0,0,0,0,0,0,0,0,19236
150,52.108539,21.056962,0,0,0,0,0,0,0,0,0,0,0,0,17893
151,52.193082,20.9207,5,0,0,0,0,0,0,0,0,0,0,0,16670
152,52.205893,21.159294,8,0,1,0,0,0,0,0,0,1,0,0,13526
153,52.197306,20.969838,14,0,0,0,0,0,0,0,0,0,0,0,18673
154,52.195704,21.079799,4,0,0,0,0,0,0,0,0,0,0,0,18744
155,52.199923,20.887756,7,2,0,4,0,0,0,0,0,0,0,0,15296
156,52.165069,21.068393,6,0,0,0,0,0,0,0,0,0,0,0,19236
157,52.145552,21.058048,13,0,2,12,0,0,0,0,0,0,0,0,17893
158,52.207792,20.992268,2,0,0,0,0,0,0,0,0,0,0,0,18744
159,52.199818,21.142386,2,0,0,0,0,0,0,0,0,0,0,0,13526
160,52.105137,21.087321,1,0,0,0,0,0,0,0,0,0,0,0,17893
161,52.117462,21.009176,0,0,0,0,0,0,0,0,0,0,0,0,17893
162,52.172242,21.004184,15,0,4,6,0,0,0,0,0,0,0,0,18744
163,52.214048,21.149319,5,0,1,0,0,0,0,0,0,0,0,0,13526
164,52.181025,20.930785,0,0,0,0,0,0,0,0,0,0,0,0,16670
165,52.218345,21.059929,1,0,0,0,0,0,0,0,0,0,0,0,27976
166,52.190873,20.978068,9,0,0,0,0,0,0,0,0,0,0,0,16670
167,52.164116,21.135251,0,0,0,0,0,0,0,0,0,0,0,0,19236
168,52.202135,21.135819,8,0,0,0,0,0,0,0,0,0,0,0,13526
169,52.186482,20.917973,2,0,0,0,0,0,0,0,0,0,0,0,16670
170,52.21611,20.914059,5,0,0,0,0,0,0,0,0,0,0,0,17378
171,52.208123,20.927234,5,0,0,0,0,0,0,0,0,0,0,0,16670
172,52.119241,21.076941,0,0,0,0,0,0,0,0,0,0,0,0,17893
173,52.135988,21.033198,0,0,0,0,0,0,0,0,0,0,0,0,17893
174,52.166396,21.113583,6,0,0,0,0,0,0,0,0,0,0,0,19236
175,52.11537,21.074685,0,0,0,0,0,0,0,0,0,0,0,0,17893
176,52.195198,21.098674,0,0,0,0,0,0,0,0,0,0,0,0,18744
177,52.133988,21.075298,9,0,1,0,0,0,0,0,0,0,0,0,17893
178,52.111966,21.086773,0,0,0,2,0,0,0,0,0,0,0,0,17893
179,52.187198,20.985599,10,0,0,0,0,0,0,0,0,0,0,0,16670
180,52.12661,21.092464,5,0,0,2,0,0,0,0,0,0,0,0,19236
181,52.109252,20.986418,9,0,0,0,0,0,0,0,0,0,0,0,17893
182,52.125798,20.990066,3,0,0,0,0,0,0,0,0,0,0,0,17893
183,52.210147,21.078737,6,0,0,0,0,0,0,0,0,0,0,0,18744
184,52.218092,21.041605,12,0,0,2,8,0,0,0,0,0,0,0,27976
185,52.134635,21.024128,1,0,0,0,0,0,0,0,0,0,0,0,17893
186,52.19319,20.95025,3,0,0,0,0,0,0,0,0,0,0,0,16670
187,52.134994,20.983899,3,0,0,0,0,0,0,0,0,0,0,0,17893
188,52.102709,21.084327,0,0,0,0,0,0,0,0,0,0,0,0,17893
189,52.18098,21.149449,2,0,0,0,0,0,0,0,0,0,0,0,13526
190,52.19056,21.055728,6,0,1,0,0,0,0,0,0,0,0,0,18744
191,52.184122,21.020279,17,0,3,2,0,0,0,0,0,0,0,0,18744
192,52.188707,21.075434,3,0,0,0,0,0,0,0,0,0,0,0,18744
193,52.129475,21.072914,14,0,1,4,0,0,0,0,0,0,0,0,17893
194,52.209152,20.94663,8,0,0,0,0,0,0,0,0,0,0,0,18673
195,52.190378,21.000882,27,0,1,4,0,0,0,0,0,0,0,0,18744
196,52.209329,20.918673,18,0,1,2,0,0,0,0,0,0,0,0,16670
197,52.133727,21.095683,7,0,0,0,0,0,0,0,0,0,0,0,19236
